ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	simulations.Plane	plane	1589924592922	 	3.3.1
USER	Airlines	213	START	1589924609417	1589924609417
REQUEST	213		AirlineLogin	1589924609418	1589924609423	OK	 
USER	Airlines	214	START	1589924609519	1589924609519
USER	Clients	223	START	1589924609519	1589924609519
REQUEST	223		ClientLogin	1589924609520	1589924609525	OK	 
REQUEST	214		AirlineLogin	1589924609520	1589924609525	OK	 
USER	Airlines	215	START	1589924609620	1589924609620
REQUEST	215		AirlineLogin	1589924609621	1589924609625	OK	 
USER	Clients	224	START	1589924609721	1589924609721
USER	Airlines	216	START	1589924609721	1589924609721
REQUEST	224		ClientLogin	1589924609722	1589924609727	OK	 
REQUEST	216		AirlineLogin	1589924609722	1589924609729	OK	 
USER	Airlines	217	START	1589924609818	1589924609818
REQUEST	217		AirlineLogin	1589924609819	1589924609823	OK	 
USER	Clients	225	START	1589924609917	1589924609917
USER	Airlines	218	START	1589924609917	1589924609917
REQUEST	218		AirlineLogin	1589924609918	1589924609922	OK	 
REQUEST	225		ClientLogin	1589924609918	1589924609922	OK	 
USER	Airlines	219	START	1589924610023	1589924610023
REQUEST	219		AirlineLogin	1589924610024	1589924610028	OK	 
USER	Airlines	220	START	1589924610123	1589924610123
USER	Clients	226	START	1589924610123	1589924610123
REQUEST	226		ClientLogin	1589924610124	1589924610130	OK	 
REQUEST	220		AirlineLogin	1589924610124	1589924610130	OK	 
USER	Airlines	221	START	1589924610220	1589924610220
REQUEST	221		AirlineLogin	1589924610220	1589924610226	OK	 
USER	Airlines	222	START	1589924610318	1589924610318
USER	Clients	227	START	1589924610320	1589924610320
REQUEST	227		ClientLogin	1589924610320	1589924610325	OK	 
REQUEST	222		AirlineLogin	1589924610319	1589924610325	OK	 
USER	Airlines	228	START	1589924610419	1589924610419
REQUEST	228		AirlineLogin	1589924610420	1589924610444	OK	 
USER	Airlines	229	START	1589924610522	1589924610522
USER	Clients	238	START	1589924610522	1589924610522
REQUEST	229		AirlineLogin	1589924610523	1589924610527	OK	 
REQUEST	238		ClientLogin	1589924610523	1589924610527	OK	 
USER	Airlines	230	START	1589924610617	1589924610617
REQUEST	230		AirlineLogin	1589924610618	1589924610622	OK	 
USER	Clients	239	START	1589924610720	1589924610720
USER	Airlines	231	START	1589924610720	1589924610720
REQUEST	231		AirlineLogin	1589924610721	1589924610729	OK	 
REQUEST	239		ClientLogin	1589924610721	1589924610731	OK	 
USER	Airlines	232	START	1589924610820	1589924610820
REQUEST	232		AirlineLogin	1589924610821	1589924610826	OK	 
USER	Clients	240	START	1589924610917	1589924610917
USER	Airlines	233	START	1589924610917	1589924610917
REQUEST	233		AirlineLogin	1589924610918	1589924610922	OK	 
REQUEST	240		ClientLogin	1589924610918	1589924610923	OK	 
USER	Airlines	234	START	1589924611018	1589924611018
REQUEST	234		AirlineLogin	1589924611019	1589924611022	OK	 
USER	Clients	241	START	1589924611119	1589924611119
USER	Airlines	235	START	1589924611119	1589924611119
