ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	dp2.AirportSimulation	airportsimulation	1590233309616	 	3.3.1
USER	ClientListAirports	105	START	1590233312439	1590233312439
USER	AirlineListAirports	84	START	1590233312439	1590233312439
REQUEST	21		Home	1590233312439	1590233312442	OK	 
REQUEST	105		Home	1590233312439	1590233312442	OK	 
REQUEST	63		Home	1590233312439	1590233312442	OK	 
REQUEST	84		Home	1590233312440	1590233312442	OK	 
USER	AirlineCreateAirport	158	START	1590233312529	1590233312529
USER	AirlineListAirports	178	START	1590233312529	1590233312529
USER	ClientShowAirport	198	START	1590233312529	1590233312529
USER	AirlineEditAirport	148	START	1590233312529	1590233312529
USER	AirlineShowAirport	168	START	1590233312529	1590233312529
USER	ClientListAirports	188	START	1590233312529	1590233312529
USER	AirlineDeleteAirport	208	START	1590233312529	1590233312529
REQUEST	168		Home	1590233312530	1590233312533	OK	 
REQUEST	198		Home	1590233312530	1590233312533	OK	 
REQUEST	158		Home	1590233312530	1590233312533	OK	 
REQUEST	208		Home	1590233312530	1590233312533	OK	 
REQUEST	148		Home	1590233312530	1590233312533	OK	 
REQUEST	188		Home	1590233312530	1590233312533	OK	 
REQUEST	178		Home	1590233312530	1590233312533	OK	 
USER	AirlineCreateAirport	159	START	1590233312630	1590233312630
USER	ClientListAirports	189	START	1590233312630	1590233312630
USER	AirlineDeleteAirport	209	START	1590233312630	1590233312630
USER	AirlineEditAirport	149	START	1590233312630	1590233312630
USER	AirlineListAirports	179	START	1590233312630	1590233312630
USER	ClientShowAirport	199	START	1590233312630	1590233312630
USER	AirlineShowAirport	169	START	1590233312630	1590233312630
REQUEST	179		Home	1590233312630	1590233312634	OK	 
REQUEST	149		Home	1590233312631	1590233312634	OK	 
REQUEST	199		Home	1590233312630	1590233312634	OK	 
REQUEST	169		Home	1590233312630	1590233312634	OK	 
REQUEST	159		Home	1590233312630	1590233312634	OK	 
REQUEST	189		Home	1590233312630	1590233312634	OK	 
REQUEST	209		Home	1590233312630	1590233312634	OK	 
USER	AirlineDeleteAirport	210	START	1590233312733	1590233312733
USER	AirlineListAirports	180	START	1590233312733	1590233312733
USER	ClientListAirports	190	START	1590233312733	1590233312733
USER	AirlineShowAirport	170	START	1590233312733	1590233312733
USER	ClientShowAirport	200	START	1590233312733	1590233312733
USER	AirlineEditAirport	150	START	1590233312733	1590233312733
USER	AirlineCreateAirport	160	START	1590233312733	1590233312733
REQUEST	190		Home	1590233312734	1590233312737	OK	 
REQUEST	160		Home	1590233312734	1590233312737	OK	 
REQUEST	150		Home	1590233312734	1590233312737	OK	 
REQUEST	180		Home	1590233312734	1590233312737	OK	 
REQUEST	200		Home	1590233312734	1590233312737	OK	 
REQUEST	210		Home	1590233312734	1590233312737	OK	 
REQUEST	170		Home	1590233312734	1590233312737	OK	 
USER	AirlineCreateAirport	161	START	1590233312829	1590233312829
USER	AirlineShowAirport	171	START	1590233312829	1590233312829
USER	AirlineListAirports	181	START	1590233312829	1590233312829
USER	ClientShowAirport	201	START	1590233312829	1590233312829
USER	ClientListAirports	191	START	1590233312829	1590233312829
USER	AirlineDeleteAirport	211	START	1590233312829	1590233312829
USER	AirlineEditAirport	151	START	1590233312829	1590233312829
REQUEST	171		Home	1590233312830	1590233312832	OK	 
REQUEST	191		Home	1590233312830	1590233312832	OK	 
REQUEST	161		Home	1590233312830	1590233312832	OK	 
REQUEST	181		Home	1590233312830	1590233312832	OK	 
REQUEST	211		Home	1590233312830	1590233312832	OK	 
REQUEST	201		Home	1590233312830	1590233312832	OK	 
REQUEST	151		Home	1590233312830	1590233312832	OK	 
USER	AirlineShowAirport	172	START	1590233312930	1590233312930
USER	AirlineDeleteAirport	212	START	1590233312930	1590233312930
USER	AirlineEditAirport	152	START	1590233312930	1590233312930
USER	AirlineListAirports	182	START	1590233312930	1590233312930
USER	AirlineCreateAirport	162	START	1590233312930	1590233312930
USER	ClientShowAirport	202	START	1590233312930	1590233312930
USER	ClientListAirports	192	START	1590233312930	1590233312930
REQUEST	172		Home	1590233312931	1590233312945	OK	 
REQUEST	192		Home	1590233312931	1590233312945	OK	 
REQUEST	152		Home	1590233312931	1590233312945	OK	 
REQUEST	162		Home	1590233312931	1590233312945	OK	 
REQUEST	202		Home	1590233312931	1590233312945	OK	 
REQUEST	212		Home	1590233312931	1590233312945	OK	 
REQUEST	182		Home	1590233312931	1590233312945	OK	 
USER	AirlineCreateAirport	163	START	1590233313033	1590233313033
USER	AirlineDeleteAirport	213	START	1590233313034	1590233313034
USER	ClientListAirports	193	START	1590233313033	1590233313033
USER	ClientShowAirport	203	START	1590233313033	1590233313033
USER	AirlineListAirports	183	START	1590233313033	1590233313033
USER	AirlineShowAirport	173	START	1590233313033	1590233313033
USER	AirlineEditAirport	153	START	1590233313033	1590233313033
REQUEST	183		Home	1590233313034	1590233313037	OK	 
