ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAICAAIBAAAAAAAAABRA
ASSERTION	AAECAAMEAAAAAAAAgFZA
RUN	acmevolar.model.ClienteCreaReservaCSV	clientecreareservacsv	1590716211648	 	3.3.1
REQUEST	40		LoggedClient Redirect 1	1590716317675	1590716317725	OK	 
USER	Clients create books	18	END	1590716247634	1590716317751
REQUEST	23		BookCreated	1590716317712	1590716317760	OK	 
REQUEST	49		LoginFormClient	1590716319659	1590716319662	OK	 
REQUEST	41		LoggedClient	1590716319669	1590716319674	OK	 
REQUEST	41		LoggedClient Redirect 1	1590716319675	1590716319682	OK	 
REQUEST	33		CreateBook	1590716319669	1590716319687	OK	 
USER	Clients create books	19	END	1590716249634	1590716319717
REQUEST	24		BookCreated	1590716319695	1590716319718	OK	 
REQUEST	50		LoginFormClient	1590716321657	1590716321661	OK	 
REQUEST	42		LoggedClient	1590716321669	1590716321675	OK	 
REQUEST	42		LoggedClient Redirect 1	1590716321676	1590716321684	OK	 
REQUEST	34		CreateBook	1590716321685	1590716321705	OK	 
USER	Clients create books	20	END	1590716251634	1590716321716
REQUEST	25		BookCreated	1590716321717	1590716321741	OK	 
REQUEST	43		LoggedClient	1590716323658	1590716323663	OK	 
REQUEST	43		LoggedClient Redirect 1	1590716323663	1590716323667	OK	 
USER	Clients create books	21	END	1590716253645	1590716323715
REQUEST	26		BookCreated	1590716323694	1590716323724	OK	 
REQUEST	35		CreateBook	1590716323694	1590716323724	OK	 
REQUEST	44		LoggedClient	1590716325670	1590716325675	OK	 
REQUEST	44		LoggedClient Redirect 1	1590716325676	1590716325687	OK	 
REQUEST	36		CreateBook	1590716325675	1590716325691	OK	 
REQUEST	27		BookCreated	1590716325706	1590716325726	OK	 
USER	Clients create books	22	END	1590716255649	1590716325738
REQUEST	45		LoggedClient	1590716327666	1590716327671	OK	 
REQUEST	45		LoggedClient Redirect 1	1590716327672	1590716327675	OK	 
REQUEST	37		CreateBook	1590716327697	1590716327718	OK	 
REQUEST	28		BookCreated	1590716327709	1590716327735	OK	 
USER	Clients create books	23	END	1590716257634	1590716327744
REQUEST	46		LoggedClient	1590716329676	1590716329682	OK	 
REQUEST	38		CreateBook	1590716329676	1590716329694	OK	 
REQUEST	46		LoggedClient Redirect 1	1590716329682	1590716329703	OK	 
REQUEST	29		BookCreated	1590716329695	1590716329717	OK	 
USER	Clients create books	24	END	1590716259638	1590716329730
REQUEST	47		LoggedClient	1590716331666	1590716331676	OK	 
REQUEST	47		LoggedClient Redirect 1	1590716331677	1590716331684	OK	 
REQUEST	39		CreateBook	1590716331675	1590716331698	OK	 
USER	Clients create books	25	END	1590716261639	1590716331737
REQUEST	30		BookCreated	1590716331717	1590716331761	OK	 
REQUEST	48		LoggedClient	1590716333656	1590716333661	OK	 
REQUEST	48		LoggedClient Redirect 1	1590716333661	1590716333665	OK	 
REQUEST	31		BookCreated	1590716333698	1590716333723	OK	 
USER	Clients create books	26	END	1590716263644	1590716333725
REQUEST	40		CreateBook	1590716333720	1590716333734	OK	 
REQUEST	49		LoggedClient	1590716335669	1590716335673	OK	 
REQUEST	41		CreateBook	1590716335669	1590716335687	OK	 
REQUEST	49		LoggedClient Redirect 1	1590716335674	1590716335693	OK	 
REQUEST	32		BookCreated	1590716335695	1590716335718	OK	 
USER	Clients create books	27	END	1590716265637	1590716335736
REQUEST	50		LoggedClient	1590716337667	1590716337672	OK	 
REQUEST	50		LoggedClient Redirect 1	1590716337673	1590716337676	OK	 
REQUEST	42		CreateBook	1590716337687	1590716337718	OK	 
REQUEST	33		BookCreated	1590716337688	1590716337720	OK	 
USER	Clients create books	28	END	1590716267639	1590716337727
REQUEST	43		CreateBook	1590716339656	1590716339671	OK	 
USER	Clients create books	29	END	1590716269638	1590716339715
REQUEST	34		BookCreated	1590716339715	1590716339740	OK	 
REQUEST	44		CreateBook	1590716341688	1590716341705	OK	 
USER	Clients create books	30	END	1590716271648	1590716341758
REQUEST	35		BookCreated	1590716341736	1590716341771	OK	 
REQUEST	45		CreateBook	1590716343667	1590716343683	OK	 
REQUEST	36		BookCreated	1590716343687	1590716343708	OK	 
USER	Clients create books	31	END	1590716273648	1590716343724
REQUEST	46		CreateBook	1590716345711	1590716345733	OK	 
USER	Clients create books	32	END	1590716275639	1590716345755
REQUEST	37		BookCreated	1590716345776	1590716345812	OK	 
REQUEST	47		CreateBook	1590716347684	1590716347700	OK	 
REQUEST	38		BookCreated	1590716347685	1590716347707	OK	 
USER	Clients create books	33	END	1590716277635	1590716347727
REQUEST	48		CreateBook	1590716349659	1590716349675	OK	 
REQUEST	39		BookCreated	1590716349685	1590716349706	OK	 
USER	Clients create books	34	END	1590716279638	1590716349737
REQUEST	49		CreateBook	1590716351695	1590716351723	OK	 
USER	Clients create books	35	END	1590716281634	1590716351749
REQUEST	40		BookCreated	1590716351738	1590716351760	OK	 
REQUEST	50		CreateBook	1590716353689	1590716353705	OK	 
USER	Clients create books	36	END	1590716283629	1590716353709
REQUEST	41		BookCreated	1590716353705	1590716353731	OK	 
REQUEST	42		BookCreated	1590716355716	1590716355745	OK	 
USER	Clients create books	37	END	1590716285639	1590716355780
REQUEST	43		BookCreated	1590716357680	1590716357707	OK	 
USER	Clients create books	38	END	1590716287637	1590716357719
REQUEST	44		BookCreated	1590716359696	1590716359720	OK	 
USER	Clients create books	39	END	1590716289634	1590716359728
REQUEST	45		BookCreated	1590716361688	1590716361721	OK	 
USER	Clients create books	40	END	1590716291640	1590716361746
USER	Clients create books	41	END	1590716293637	1590716363726
REQUEST	46		BookCreated	1590716363736	1590716363768	OK	 
REQUEST	47		BookCreated	1590716365708	1590716365735	OK	 
USER	Clients create books	42	END	1590716295635	1590716365740
USER	Clients create books	43	END	1590716297628	1590716367701
REQUEST	48		BookCreated	1590716367689	1590716367712	OK	 
USER	Clients create books	44	END	1590716299636	1590716369724
REQUEST	49		BookCreated	1590716369725	1590716369755	OK	 
REQUEST	50		BookCreated	1590716371688	1590716371710	OK	 
USER	Clients create books	45	END	1590716301637	1590716371724
USER	Clients create books	46	END	1590716303636	1590716373758
USER	Clients create books	47	END	1590716305639	1590716375725
USER	Clients create books	48	END	1590716307626	1590716377695
USER	Clients create books	49	END	1590716309639	1590716379749
USER	Clients create books	50	END	1590716311639	1590716381705
